13199,214587697,0,2
26384,214716971,0,2
39662,214826835,0,1
39662,214820240,0,1
39662,214717003,0,2
52774,214827032,0,2
52774,214819612,0,1
64117,214748285,0,1
64117,214820218,0,1
79322,214748338,0,2
79322,214748300,0,1
79322,214748338,0,1
82806,214613743,0,1
82806,214827011,0,1
105548,214821390,0,1
105548,214718203,0,1
110293,214573616,0,1
110293,214714691,0,1
128237,214716461,0,2
147102,214826835,0,1
147102,214826627,0,1
147102,214827026,0,1
158646,214839902,0,1
158646,214691396,0,1
158646,214702787,0,1
154622,214839313,0,3
165614,214716935,0,1
194256,214826705,0,1
194256,214826816,0,1
211097,214826621,0,1
211097,214826619,0,1
211097,214827007,0,1
211097,214827005,0,1
211097,214827000,0,1
211097,214826837,0,1
211097,214826872,0,1
211097,214826621,0,2
211097,214826619,0,2
211097,214826927,0,1
211097,214826934,0,1
211097,214826998,0,2
211097,214717562,0,1
211097,214821300,0,1
211097,214746427,0,1
211097,214743335,0,1
198797,214821285,0,1
198797,214826897,0,1
198797,214535621,0,1
198797,214737337,0,1
198797,214840412,0,1
220587,214826705,0,1
220587,214826816,0,1
238213,214677862,0,1
238213,214746435,0,1
256468,214827028,0,1
256468,214584815,0,1
256468,214587307,0,1
256468,214584815,0,1
256468,214587307,0,1
281969,214695478,0,1
281969,214774685,0,1
281969,214774682,0,1
294201,214826627,0,1
294201,214826816,0,1
294201,214826955,0,1
272808,214717247,0,1
272808,214821028,0,1
272808,214821026,0,1
272808,214561502,0,1
272808,214585395,0,1
317291,214709645,0,1
317291,214709690,0,1
296393,214709165,0,1
296393,214698806,0,2
309242,214835713,0,1
309242,214530697,0,1
309242,214530701,0,1
309242,214835287,0,1
309242,214701350,0,1
309242,214606417,0,1
309242,214611129,0,1
309242,214676595,0,1
309242,214601210,0,1
309242,214701787,0,1
309242,214717627,0,1
309242,214611129,0,1
309242,214606417,0,1
309242,214835287,0,1
309242,214530697,0,1
309242,214835713,0,1
309242,214717627,0,1
309242,214601210,0,1
309242,214511015,0,1
309242,214701787,0,1
309242,214601210,0,1
309242,214606417,0,1
309242,214511015,0,1
309242,214701787,0,1
309242,214676595,0,1
309242,214606417,0,1
309242,214511015,0,1
309242,214530701,0,1
309242,214676595,0,1
309242,214611129,0,1
309242,214601210,0,1
309242,214606417,0,1
309242,214835287,0,1
309242,214530701,0,1
309242,214530697,0,1
309242,214835713,0,1
309242,214717627,0,1
359276,214827022,0,1
359276,214827020,0,1
359276,214630042,0,1
359276,214706216,0,1
331202,214819490,0,1
331202,214702787,0,2
384544,214718160,0,1
384544,214684513,0,1
384544,214839373,0,1
384544,214534704,0,1
388519,214711661,0,1
388519,214585395,0,2
375146,214718203,0,1
375146,214821390,0,1
375146,214718203,0,1
